Scrippt Name (Diagnosis),Pediatric/Adult,Category,Pathophysiology,Epidemiology,Signs/Symptoms,Diagnostics,Treatments,Links,Image URL
Osteoporosis,Adult,Orthopedics,"Decreased bone density but normal mineralization in existing bone stock 
","Risk factors: inadequate dietary calcium, smoking, sedentary lifestyle, decreased estrogen or testosterone, white, postmenopausal women",Usually asymptomatic until fractures and neurovascular impingement occur,"Decreased bone density evident on DEXA scan, X-ray, and CT","Prevention, exercise, calcium and vitamin D in diet, Bisphosphonates,  hormone replacement therapy, Pulsatile teriparatide 
",https://www.aafp.org/afp/2015/0815/p261.html,
Paget disease of bone,Adult,Orthopedics,Overactive osteoclasts and osteoblasts leading to excessive bone turnover and disorganized bony architecture,Prevalence in US is 1-2 percent of the general population.,"Asymptomatic, deep bone pain, fractures; tibial bowing, kyphosis,  deafness ","Increased ALP and urine hydroxyproline; normal Ca and PO, X-rays show osteolytic lesions and expanded hyperdense bone; “hot spots” on bone scan","Bisphosphonates, calcitonin",https://www.youtube.com/watch?v=JDRlxizB6jQ,
Osteogenesis imperfecta,Adult,Orthopedics,"Defective production of collagen from a genetic disorder
","Incidence is 1/20,000 births.","Frequent fractures from minimal trauma, blue sclerae, skin and dentinogenesis imperfecta,, possible deafness, joint hypermobility ","Diagnosis primarily made during childhood, History and clinical examination","Activity restriction, surgical correction of bony misalignment,
bisphosphonates ","https://www.youtube.com/watch?v=JA5ap43iFrQ
https://radiopaedia.org/articles/osteogenesis-imperfecta-1?lang=us",
Gout,Adult,Orthopedics,"Peripheral monoarthritis caused by the deposition of sodium urate crystals in joints
","Risk factors: renal disease, male gender, obesity, excessive consumption of purine-rich foods, etc.","Sudden severe pain and swelling in one joint, first metatarsophalangeal joint commonly affected, chills, or malaise.","Serum uric acid can be normal or increased; joint aspiration shows needle-shaped, negatively birefringent crystals
"," NSAIDs, colchicine, corticosteroids, dietery modifications, Allopurinol ",https://www.aafp.org/afp/2014/1215/p831.html,
Pseudogout,Adult,Orthopedics,Calcium pyrophosphate dihydrate crystal deposition in joints.,A familial condition associated with other endocrine diseases.,Similar to gout but less severe symptoms; knee and wrist most commonly initially affected joints,"Joint aspiration shows positively birefringent, rhomboid crystals, X-ray show chondrocalcinosis ","NSAIDs, colchicine",,
septic arthritis,Adult,Orthopedics,"Hematogenous spread of bacteria, extension of local infection, or direct inoculation into the joints
",,"Monoarticular joint pain; micromotion tenderness, overlying skin lesions.","Increased WBCs, ESR and CRP; joint fluid culture show organism"," I&D for infection, IV antibiotics",https://www.aafp.org/afp/2011/0915/p653.html,
Osteomyelitis,Adult,Orthopedics,"Bone infection via hematogenous spread or local extension
","Incidence is 13/100,000 in children and 90/100,000 in adults.","Bone pain, tenderness, fever, chills; possible skin involvement with a draining sinus","Increased WBC, ESR, and CRP; cultures, MRI demonstrates bone edema early in disease; bone scan shows increased uptake after 72 hrs","IV antibiotics, I&D 
",https://www.youtube.com/watch?v=l9yGc73lrss,
Rheumatoid arthritis (RA),Adult,Orthopedics,Chronic autoimmune inflammatory disorder with infiltration of synovial joints by inflammatory cells ,Common in middle-aged women; increased frequency in people with HLA-DR4 serotype.,"Malaise, weight loss, insidious onset of morning stiffness with pain, decreased mobility, MCP hypertrophy, swan-neck deformities,  boutonniere deformities","RF positive, positive ACPA and ANA, joint aspiration shows 5,000 to 50,000 leukocytes, X-rays shows soft tissue swellings, joint space narrowing, etc.","DMARDs, HCQ or sulfasalazine, Methotrexate or TNF-α inhibitors, Glucocorticoids and NSAIDs 
",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6422329/,
Fibromyalgia,Adult,Orthopedics,"Chronic pain in muscles and tendons in absence of apparent inflammation frequently associated with depression, anxiety, and IBD
","Predisposition with hypothyroidism, RA, sleep apnea; more common in women 20 to 50 years of age.","Myalgias and weakness without inflammation; “trigger points” on examination, depression, sleep disturbances, dizziness, mood disturbances","widespread pain involving both sides of the body, above and below the waist as well as the axial skeletal system, for at least three months; and presence of 11 tender points among specified sites","Stretching, antidepressants, patient education, physical therapy ",https://www.aafp.org/afp/2007/0715/p247.html,
Ankylosing Spondylitis,Adult,Orthopedics,"Chronic inflammatory disease of the spine and pelvis that results in eventual bone fusion
","Risk factors: 20 to 40 years of age, male > female, white > black.","Hip and low back pain that is worse in the morning which improves on activity, limited range of motion in spine, hip, or chest, Painful kyphosis 
","Positive HLA-B27, increased or normal ESR, negative RF, negative ANA, X-ray shows bamboo spine ","Physical therapy, NSAIDs; exercise, sulfasalazine, methotrexate, or anti-TNF drugs
",https://sajr.org.za/index.php/sajr/article/view/294/384,
Psoriatic arthritis,Adult,Orthopedics,Arthritis that develops in 10% to 20% of patients with psoriasis; DIP joints and spine most commonly affected,"white males between 15 and 40, most common spondyloarthropathy.","Asymmetric joint pain and stiffness, symptoms worse in morning and
improve with activity","Negative RF and ANA, positive HLA-B27, X-rays show findings similar to RA and “pencil in cup” deformities"," NSAIDs, methotrexate, sulfasalazine, anti-TNF drugs",https://www.aafp.org/afp/2004/0615/p2853.html,
Osteosarcoma,Adult,Orthopedics,"Most common primary malignant bone tumor.
","Male>female, Risk factors: Paget disease of bone, p53 genetic mutations, familial retinoblastoma, etc.","Deep bony pain, later development of palpable bony mass.","Increased ALP, ESR and LDH; biopsy for definitive diagnosis, X-ray shows  sunburst pattern and Codman triangle MRI/PET scan for determining extent of the lesion","Radical surgical excision, chemotherapy
",https://www.aafp.org/afp/2002/0315/p1123.html,
Ewing sarcoma,Adult,Orthopedics,"Highly malignant cartilage tumor occurring in diaphysis of long bones; most common in children, 5 to 15 years of age","2.93/1,000,000,most common in children, 5 to 15 years of age.","Bony pain, tissue swelling, weight loss, fractures with minor trauma; possible palpable mass
","Increased WBCs and ESR, decreased Hgb, biopsy for making diagnosis, X-ray show Codman triangle, or “onion-skin” bone lesion), "," Radiation, adjuvant chemotherapy, radical excision",https://www.ajronline.org/doi/full/10.2214/AJR.15.14341,
Developmental dysplasia of the hip,Pediatric,Orthopedics,"Perinatal displacement of the femoral head from acetabulum disrupting normal development of the hip joint
","Risk factors: female > male, firstborn children, babies delivered in breech presentation, oligohydramnios.","Delayed walking, abnormal gait, Positive Barlow and Ortolani maneuvers, Trendelenburg gait ","US imaging show hip congruity
","Pavlik harness used in children, closed or open reduction, Spica casting, open reduction ","https://kidshealth.org/en/parents/ddh.html
https://www.aafp.org/afp/2006/1015/p1310.html",
Slipped capital femoral epiphysis,Pediatric,Orthopedics,"Separation through growth plate of femoral epiphysis from metaphysis
","Risk factors: adolescent, obese, black race, hypothyroidism.","Thigh and knee pain; limp, limited internal rotation and abduction of the hip"," X-rays shows posterior and medial displacement of the femoral
head from the femoral metaphysis","Surgical pinning, weight-bearing restrictions ",https://orthoinfo.aaos.org/en/diseases--conditions/slipped-capital-femoral-epiphysis-scfe,
Legg-Calvé-Perthes disease,Pediatric,Orthopedics,AVN of capital femoral epiphysis ,Most common between 3 and 8 years of age.,"Gradual progressive limp, insidious onset of pain, decreased range of motion","X-ray shows asymmetric hips; affected femoral head appears small
with sclerotic bone and widened joint space","Containment of hip, acetabular reconstruction ",https://radiopaedia.org/articles/perthes-disease?lang=us,
Osgood-Schlatter disease,Pediatric,Orthopedics,"Inflammation of the bone–cartilage interface of the tibial tubercle (i.e., osteochondritis)
", Most common in young boys during pubertal growth spurt,Pain at an involved site that worsens with activity,"Clinical examination, X-ray, ","Stretching exercises, NSAIDs, tibial band",https://www.youtube.com/watch?v=fXFRuZz_qoI,
Clubfoot,Pediatric,Orthopedics,"Inversion of foot, plantar flexion of ankle, and adduction of forefoot",Prevalence is  0.6 and 1.5 per 1000 live births,"Child who is slow to walk, limp; obvious defect on examination
","Clinical examination,  ","Serial casting of foot in correct position; surgery if required
",,
Nursemaid’s elbow,Pediatric,Orthopedics,Radial head subluxation that occurs via pulling and lifting on the hand,"~2.5yo, females>males, left arm more common",Child with painful arm who will not bend elbow,"History and clinical examination, MRI to check ligament integrity","Manual reduction via supination of the arm with flexion of the elbow
from 0° to 90° of flexion",https://pubmed.ncbi.nlm.nih.gov/25035767/,
Rickets,Pediatric,Orthopedics,"Impaired calcification of bone in children caused by deficient vitamin D intake, absorption, or metabolism or impaired phosphate absorption 

","Incidence of less than 1 in 200,000","Bone pain, delayed walking; bowed legs, kyphoscoliosis, decreased height, softened skull bones; fractures that result from minimal trauma ","Increased ALP decreased PO, Ca, increased 25-hydroxyvitamin D3, 1,25-dihydroxycholecalciferol, increased PTH, X-rays demonstrate bone deformities","Phosphorus supplementation, vitamin D supplementation ",https://www.aafp.org/afp/2006/0815/p619.html,
Juvenile idiopathic arthritis,Pediatric,Orthopedics,Nonmigratory arthropathy affecting one or more joints for .3 months,"Prevalence of 16-50 cases/100,000 ","Arthralgias, morning stiffness; fever","vary with subtype, X-rays  demonstrate osteopenia and subchondral sclerosis around involved joints","Varies with subtype, NSAIDs, methotrexate, or corticosteroids",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5127964,
Duchenne muscular dystrophy,Pediatric,Orthopedics,"X-linked disorder resulting from deficiency of dystrophin 
","Prevalence is 1 in every 3,500 live male births. Onset at 2 to 6 years of age","Clumsiness, easy fatigability, difficulty standing up and walking, waddling gait, positive Gower maneuver, pseudohypertrophy ","Increased CK, immunostaining for dystrophin is diagnostic,
EMG: polyphasic potentials and increased fiber recruitment","Physical therapy, corticosteroids, pulmonary support, ACE-I decrease
cardiac afterload","https://www.youtube.com/watch?v=DGOmN6rnsNk
https://creativemeddoses.com/wp-content/uploads/2020/04/mind-map-with-clinical-features-.jpg",
Urinary incontinence,Adult,Urology,"Involuntary leakage of urine
", more common in the elderly,"History of urgency, frequent voiding of small amounts of urine, and possibly incontinence","History, Urinalysis show UTI or blood sugar, bladder stress test, US or CT show bladder defects","Bladder training, antimuscarinics (oxybutynin, tolterodine,
solifenacin, etc.)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3411204/,
Stress incontinence,Adult,Urology,"Leakage of urine during any maneuver that increases abdominal pressure due to decreased anatomic support of and function of the urinary sphincter
","Risk factors: female, sex, multiparity, obesity.","incontinence accompanies coughing, sneezing, laughing, exercise, lifting heavy objects","Urinanalysis, Nerve test, urinary stress test,","Conservative therapy (weight loss, Kegel exercises), surgical therapy (midurethral sling)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878864/,
 Urge incontinence,Adult,Urology,Leakage of urine due to uninhibited bladder contractions, 51% of adult women in the United States,"Signs of infection, urinary incontinence
","History of urgency, frequent voiding of small amounts of urine, and possibly incontinence","Bladder training, antimuscarinics (oxybutynin, tolterodine,
solifenacin, etc.)",https://www.aafp.org/afp/2019/0915/p339.html,
Urethritis,Both,Urology,Infection of urethra caused by sexually transmitted Neisseria gonorrhoeae or Chlamydia trachomatis,4 million Americans each year are affected.,"Dysuria,urgency, burning urination; purulent urethral discharge seen with N. gonorrhoeae","Gram stain shows the type of infection, diagnosis of Chlamydia may be confirmed with nucleic acid amplification testing","Single-dose ceftriaxone with doxycycline or azithromycin 
",https://www.aafp.org/afp/2021/0501/p553.html,
Prostatitis,Adult,Urology,Inflammation of prostate from unknown cause or as complication of UTI,"8 percent of visits to urologists, and up to 1 percent of visits to primary care physicians","Perineal pain, dysuria, tender prostate on digital rectal examination",Incidence of UTI; hematuria; white blood cells seen in prostatic secretions,"TMP-SMX,  treat for sexually transmitted diseases (STDs) in sexually active males",https://www.aafp.org/afp/2010/0815/p397.html,
Benign prostatic hyperplasia,Adult,Urology,Benign enlargement of prostate ,Increasing frequency as men age beyond 40 years,"urinary hesitancy, straining, weak or intermittent stream, dribbling;
frequency, urgency, nocturia,","Increase in PSA; rule out infection (urinalysis), cancer (biopsy), and renal failure (serum electrolytes, BUN, Cr), the transrectal US shows an enlarged prostate","a1-receptor blockers, a-reductase inhibitors, surgery",https://www.aafp.org/afp/2008/0515/p1403.html,
Prostate cancer,Adult,Urology,"Adenocarcinoma occurring in peripheral zone of prostate
","Most common cancer diagnosis made in men
Risk factors: increased age, family history, high-fat diet, prostatitis.","Asymptomatic; weakened urinary stream, urinary retention, nodular or irregular prostate on digital examination, lymphedema","Hematuria and pyuria; increased PSA, increased  ALP, transrectal US shows irregular prostate; bone scan, CXR, and CT to detect metastases","Radical retropubic, perineal, laparoscopic, or robotic prostatectomy; radiotherapy, Antiandrogen therapy.
",https://fpnotebook.com/Uro/HemeOnc/PrstCncr.htm,
Epididymitis,Both,Urology,"Inflammation of epididymis associated with testicular inflammation
",1 in 1000 men annually in US.,"Epididymal pain relieved by supporting scrotum, dysuria; scrotal tenderness, and induration
",Urinalysis shows white blood cells; urine culture with specialized culture media to diagnose STDs,"Ceftriaxone, doxycycline or fluoroquinolone; NSAIDs and scrotal
support for noninfectious causes",https://www.aafp.org/afp/2016/1101/p723.html,
Testicular torsion,Both,Urology,Twisting of spermatic cord leading to vascular insufficiency of testes,"bimodal, with one peak in the neonatal period and the second peak around puberty.","Very painful and swollen testes, testes displaced superiorly, absent cremasteric reflex, US may show torsion","History and physical exam, US","Emergent surgical reduction of torsion, manual detorsion ",https://www.aafp.org/afp/2013/1215/p835.html,
Testicular cancer,Adult,Urology,"Germ cell (seminomatous, nonseminomatous) or stromal cell (Leydig, Sertoli, or granulosa cell) tumors of testicles
 ","Risk factors: prior history of testicular cancer, undescended testes, family history.","Painless testicular mass, gynecomastia; GI or pulmonary symptoms can result from metastases","Increased b-hCG and a-fetoprotein, estrogen in stromal cell tumors
US may detect dense testicular mass; CXR/CT can detect extent ",Radical orchiectomy with/without chemotherapy and radiation therapy,https://wchh.onlinelibrary.wiley.com/doi/epdf/10.1002/tre.590,
Diabetes mellitus (DM) type I,Adult,Endocrinology,"autoimmune destruction of b-islet cells, HLA-DR3, HLA-DR4, and HLA-DQ","Bimodal age distribution (first peak at 4 to 6 years, second peak at 10 to 14 years)","Polyuria, polydipsia, polyphagia, weight loss; more rapid onset than type II DM","hyperglycemia, glycosuria, serum and urine ketones, increased HbA1c", insulin injections or continuous insulin infusion via insulin pump,https://www.aafp.org/afp/2018/0801/p154.html,
Diabetes mellitus type II,Adult,Endocrinology," resistance to insulin, hyperglycemia","> 40 years; obesity, metabolic syndrome","Asymptomatic in early stages, eventual polyuria, polydipsia, polyphagia, acanthosis nigricans",HbA1c ,"nutrition, Metforin, possibly insulin",https://www.aafp.org/afp/topicModules/viewTopicModule.htm?topicModuleId=7,
Diabetic ketoacidosis (DKA),Both,Endocrinology,Extremely low insulin and glucagon excess causing degradation of triglycerides into fatty acids and eventual conversion into keto acids,"uncontrolled DM type I, often how new patients present","fruity odor on breath, hyperventilation (Kussmaul respiration), delirium","Glucose 300 to 800 mg/dL (rarely .1,000) an-ion gap metabolic acidosis, serum and urine ketones","Treat underlying disorder, IV fluids, insulin, KCl",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4085289/,
Hyperosmolar hyperglycemic state (HHS),Adult,Endocrinology,"hepatic glucose production through glycogenolysis and gluconeogenesis, leading to hyperglycemia, intracellular water depletion, and subsequent osmotic diuresis.",more common in the African-American male population as compared to the Caucasian population.,"Polyuria, polydipsia, dehydration, mental status changes; seizures and stroke in severe cases",Glucose > 800 no acidosis,"IV fluids, insulin, correction of electrolyte abnormalities; treat underlying  disorder",https://www.aafp.org/afp/2017/1201/p729.html,
Graves disease,Adult,Endocrinology,Autoimmune TSI antibodies bind to TSH receptors and stimulate thyroid hormone production,"16 cases/100,000 women and 3 cases/100,000 men; between 30 and 60 years","Exophthalmos, pretibial myxedema, painless goiter","Increased T4 and T3, decreased TSH, high uptake on thyroid scan","Thionamides (methimazole, PTU), radioablation with radioactive iodine or subtotalthyroidectomy for definitive cure; atenolol for symptomatic relief","https://www.aafp.org/afp/2005/0815/p623.html
https://www.youtube.com/watch?v=I2L1NXhZOEE",
Hashimoto thyroiditis,Adult,Endocrinology,"Most common cause of hyperthyroidism; antithyroid antibodies against the thyroid tissue, causing progressive fibrosis",Autoimmune condition characterized by chronic thyroiditis; most commonly in middle-aged women,"Fatigue, cold intolerance, weight gain, irregular menstruation, depression, hoarseness; hyporeflexia, bradycardia, dry skin, edema, painless goiter","Increased TSH, decreased total T4, decreased free T4, antithyroid peroxidase (anti-TPO and antithyroglobulin antibodies; lymphocytic infiltrates and fibrosis on biopsy
Radiology: decreased uptake on thyroid scan (i.e., “cold scan”), ",Lifelong levothyroxine replacement,https://www.ncbi.nlm.nih.gov/books/NBK459262/,
Acromegaly,Adult,Endocrinology,Excess secretion of GH by anterior pituitary caused by adenoma,"In a population of 1 million, 60 to 70 adults have acromegaly, and about three new cases are detected each year. ","Large hands and feet, coarsening of facial features,  thickened skin, increased body hair growth, joint pain, neuralgia, enlarged kidneys ","Increased GH, increased GH 1 to 2 hr following 100 g glucose load,  Radiology: CT/MRI may detect tumor, X-rays: increased bone density","Surgical resection of adenoma, dopamine agonists/octreotide to lessen effects of GH; radiation therapy in non-responsive cases",https://www.scientificanimations.com/medical-animation-acromegaly-symptoms-causes-treatment/,
SIADH,Adult,Endocrinology,"Non-physiologic release of ADH, resulting in hyponatremia secondary to other pathologies ","2500-3000 cases per 100,000 ",Chronic hyponatremia,Serum hypo-osmolarity (280 mOsm/kg) with urine osmolarity 100 mOsm/kg,"Fluid restriction, loop diuretics, hypertonic saline if symptomatic,  demeclocycline to maintain normal Na levels","https://www.aafp.org/afp/2015/0301/p299.html
https://geekymedics.com/syndrome-of-inappropriate-antidiuretic-hormone-secretion-siadh/",
Conn syndrome,Adult,Endocrinology,Primary hyperaldosteronism due to an adrenal adenoma,"Twice as common in women as in men, high incidence between 30-50 years ","Headache, weakness, paresthesias; recalcitrant HTN, tetany","Decreased K, metabolic alkalosis, mildly hypernatremia, decreased renin, increased 24-hr urine aldosterone","Surgical resection of tumor (primary hyperaldosteronism),  aldosterone antagonists (e.g., spironolactone)","https://www.youtube.com/watch?v=oSqLwPv8bb4
https://www.aafp.org/afp/2009/0515/p863.html",
Addison disease,Adult,Endocrinology,Deficiency of adrenal hormones cortisol and aldosterone resulting in kidney damage,"Approximately 1 in 100,000 people in United States","Extreme fatigue. weight loss, decreased appetite, hyperpigmentation, low blood pressure, salt craving. hypoglycemia, abdominal pain","Hyponatremia, hyperkalemia, low cortisol, insulin-induced hypoglycemia, eosinophilia, lymphocytosis","Oralhormones (Glucocorticoids & mineralocorticoids), good nutrition, regular meals, high carbohydrates, adequate salt","https://www.ncbi.nlm.nih.gov/books/NBK441994/
https://www.youtube.com/watch?v=V6XcBp8EV7Q
",
 Congenital adrenal hyperplasia,Adult,Endocrinology,"Enzymatic defect in the synthesis of cortisol
","1:15,000 births worldwide","17-a-Hydroxylase deficiency: Amenorrhea (women), ambiguous genitalia (men); HTN

21-a-Hydroxylase deficiency: ambiguous genitalia (female infants), virilization (women), macrogenitosomia and precocious puberty (men)

11-b-Hydroxylase deficiency: ambiguous genitalia (female infants), virilization (women), macrogenitosomia and precocious puberty (men); HTN ","17-a-Hydroxylase deficiency: Decreased K1, increased Na1, decreased androgens and 17-a-hydroxyprogesterone

21-a-Hydroxylase deficiency: Decreased Na1, increased K1 and androgens

11-b-Hydroxylase deficiency: Increased deoxycorticosterone, deoxycortisol and androgens","17-a-Hydroxylase deficiency: cortisol replacement  

21-a-Hydroxylase deficiency: cortisol replacement therapy, fludrocortisone for mineralocorticoid replacement

11-b-Hydroxylase deficiency: cortisol replacement (hydrocortisone/dexamethasone), anti-HTN ",https://www.youtube.com/watch?v=8IoKNxbWCfE,
Pheochromocytoma,Adult,Endocrinology,A tumor that secretes epinephrine and norepinephrine,"0.66 cases per 100 000 people per year, more prevalent in the elderly (60-79 years)","palpitations, chest pain, diaphoresis, headache, anxiety; intermittent tachycardia, HTN",Increased 24-hr urinary catecholamines and metanephrines; increased plasma-free metanephrines; increased 24-hr urinary vanillylmandelic acid (VMA) ,Surgical resection; a-and b-blockers used to control blood pressure; ,"https://pheopara.org/education/pheochromocytoma
https://www.youtube.com/watch?v=1KgXYuUbFKg
",
Cretinism,Pediatric,Endocrinology,Hereditary disorder of thyroid hormone synthesis that leads to abnormal mental development and growth retardation (deficiency of Iodine),"1: 3,000 births. Girls are twice as often affected as boys.","Poor feeding, lethargy, large fontanelles that remain open, thick tongue, umbilical hernia, growth retardation, dry skin, jaundice ","Decreased T4, increased TSH, Radiology:  poor bone development; thyroid scan: decreased uptake with malformed thyroids and increased uptake with iodide deficiency",Levothyroxine started soon after birth to avoid permanent developmental delays,https://dermatologyoasis.net/cretinism/,
Viral gastroenteritis,Both,Gastroenterology,"rotavirus, norovirus, adenovirus, and astroviruses account for most cases. Most are transmitted via the fecal-oral route, including contaminated food and water.",The most frequent cause of diarrheal disease worldwide. Men and women are affected equally. Norovirus is the most common viral cause,"Diarrhea, abdominal pain, myalgias; low-grade fever","Medical history, No fecal white blood cells; viral culture indicates pathogen ",Self-limited (48 to 72 hours); maintain hydration status in developed countries. Can have significant mortality in underdeveloped countries and in children. ,https://www.ncbi.nlm.nih.gov/books/NBK518995/,
Bacterial gastroenteritis,Both,Gastroenterology,Variety of bacteria that can cause cytotoxin production and invasion and destruction of intestinal mucosal cells >> leads to diarrhea,"Travelers diarrhea (50% of travelers), 9:1000 cases in pediatrics lead to hospitalizaiton","Fever, diarrhea (watery or bloody), abdominal cramping, and pain ","Medical history and examination, stool culture will specify bacteria, electrolyte imbalance","Rehydration, antibiotics, supportive therapy
Avoid antibiotics in bloody stools due to increase in toxin release! ",https://www.ncbi.nlm.nih.gov/books/NBK513295/,
 Achalasia,Both,Gastroenterology,"Neuromuscular disorder of esophagus with impaired peristalsis and decreased LES relaxation because of intramural neuron dysfunction

",Idiopathic; most commonly affects persons 25 to 60 years of age,"Dysphagia of solids and liquids, regurgitation, cough, aspiration, heartburn","Manometry shows increased LES pressure, incomplete LES relaxation, and decreased peristalsis, Barium swallow shows “bird’s beak” sign ","Nitrates and calcium channel blockers relax LES, pneumatic dilation, botulinum injections, myotomy relieve obstruction",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(13)60651-0/fulltext,
GERD,Both,Gastroenterology,"Low pressure in LES leads to abnormal reflux of gastric contents into esophagus.
","Prevalence is 18.1% to 27.8% in the US, Risk factors: obesity, hiatal hernia, pregnancy, scleroderma","“heartburn” 30 to 90 min after eating, sour taste in mouth, regurgitation, dysphagia, odynophagia","Esophageal pH monitoring can detect increased acidity, EGD, CXR or barium swallow can help rule out other conditions","Supportive therapy, H2 antagonists, PPIs, surgery 
",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6140167/,
Esophageal cancer,Adult,Gastroenterology,"Squamous cell carcinoma or adenocarcinoma of esophagus

","Risk factors: alcohol, tobacco, chronic GERD, obesity
","progressive dysphagia, weight loss, odynophagia, reflux, GI bleeding, vomiting, weakness, hoarseness","Biopsy, barium swallow shows narrowing of esophagus and abnormal mass, MRI/CT/PET scan to detect extension and metastases","Surgical resection, radiation and chemotherapy ",https://pubmed.ncbi.nlm.nih.gov/28075104/,
Hiatal hernia,Both,Gastroenterology,"Herniation of part of stomach above diaphragm. caused by increased intra-abdominal pressure, which leads to the protrusion of the stomach and other abdominal viscera into the mediastinum 
","overweight, multiple pregnancies, history of esophageal surgery, partial or full gastrectomy",Asymptomatic; symptoms associated with GERD; CXR detect hernia without barium swallow,"CXR, baarium swallow, endoscopy
Dx includes classification into one of four types (see link)","Sliding hernias treated with reflux control; paraesophageal
hernias need surgical repair",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6853045/,
Gastritis,Both,Gastroenterology,"Inflammation of gastric mucosa
","6.3 per 100,000 individuals worldwide","Asymptomatic; epigastric pain, indigestion, hematemesis, melena; ","positive urea breath test, positive IgG antibody to H.pylori, antral biopsy can detect H. pylori infection","Treat the cause, H2 antagonists or PPI, vitamin B12 replacement.
antibiotics",https://www.ncbi.nlm.nih.gov/books/NBK544250/,
Peptic ulcer disease (PUD),Both,Gastroenterology,"Erosion of gastric and duodenal mucosa secondary to impaired endothelial defenses and increased gastric acidity 

","Risk factors: H. pylori infection, NSAID use, tobacco, alcohol, corticosteroids; males > females","periodic burning, epigastric pain, hematemesis, melena, hematochezia; epigastric tenderness; ","Positive urea breath test, IgG antibodies or H. pylori; CBC for GI bleeding, AXR to detect perforation, barium swallow AXR can demonstrate collections of barium in ulcerations; ","Treat the cause, PPI and H2 antagonist; sucralfate, bismuth subsalicylate, or misoprostol;antibiotics, surgery.
","https://www.ncbi.nlm.nih.gov/books/NBK534792/
https://www.youtube.com/watch?v=v74UGLRsuRM",
Zollinger-Ellison syndrome,Adult,Gastroenterology,"Syndrome secondary to gastrin-producing tumor most frequently located in duodenum (70% cases) or pancreas
",Incidence is 0.5 to 2 per million population,"Refractory PUD, indigestion, diarrhea, steatorrhea, history of other endocrine abnormalities",Increased fasting gastrin; positive secretin-stimulation test;  SPECT can localize tumors; angiography ,"Surgical resection, PPI and H2 antagonists, octreotide ",https://pubmed.ncbi.nlm.nih.gov/19351273/,
Celiac disease,Both,Gastroenterology,"Genetic disorder characterized by gluten intolerance (e.g., wheat, barley, rye)
", Prevalence estimates range from 1:80 in US,"Bloating, abnormal stools in infants; steatorrhea, weight loss, depression, arthralgias","Positive antiendomysial and antigliadin antibodies in serum; biopsy
shows blunting of duodenal and jejunal villi","Gluten-freen diet,  corticosteroids
",https://www.aafp.org/afp/2014/0115/p99.html,
Ulcerative Colitis,Adult,Gastroenterology,Continuous disease beginning at rectum and extending possibly as far as distal ileum; only mucosa and sub-mucosa affected,"incidence of 9 to 20 cases per 100,000 per year","Abdominal pain, bloody diarrhea, tenesmus, orthostatic hypotension, gross blood on rectal examination, Arthritis, uveitis, ankylosing spondylitis, erythema nodosum, pyoderma gangrenosum","pANCA positive; biopsy diagnostic, Colonoscopy shows continuous  involvement, pseudopolyps, friable mucosa; barium enema shows “lead pipe” colon ","Mesalamine, supplemental iron, corticosteroids, immunosuppressives; total colectomy ","https://www.aafp.org/afp/2013/0515/p699.html
",
Appendicitis,Both,Gastroenterology,"Inflammation of the appendix with infection or perforation
","5 and 45, with a mean age of 28, lifetime incidence of 8.6% and 6.7% for men, and women respectively","Dull periumbilical pain, rebound tenderness, psoas sign, Rovsing sign  perforation produces severe pain ","Increased WBC,  CT most sensitive test and may show bowel wall thickening, appendicolith, abscess, phlegmon",Appendectomy; antibiotics added for ruptured appendix,https://www.ncbi.nlm.nih.gov/books/NBK493193/,
 Ileus,Adult,Gastroenterology,"Paralytic obstruction of bowel secondary to decreased peristalsis
caused by infection, ischemia, recent surgery, DM, opioid use","most common s/p intra-abdominal surgery, other causes include inflammatory (appendicitis, diverticulitis etc), hypokalemia, certain drugs (opioids). ","Vague abdominal pain, no bowel movements, inability to tolerate meals; decreased bowel sounds
","AXR shows distention of affected bowel, air-fluid levels; barium enema to rule out obstruction","Treat the cause, make patient NPO, colonoscopic decompression ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5569564/,
Volvulus,Pediatric,Gastroenterology,"Rotation of bowel creates obstruction and possible ischemia
",Tends to occur in elderly and infants,"Distention, abdominal pain, obstipation; AXR show “double bubble” proximal and distal to volvulus; barium enema shows “bird’s beak” ","AXR, barium enema",Self-limited; colonoscopic decompression of sigmoid volvulus; surgical repair,"https://www.jabfm.org/content/6/1/65
https://pubmed.ncbi.nlm.nih.gov/23946604/",
Acute cholecystitis,Both,Gastroenterology,Inflammation of gallbladder commonly caused by gallstone obstruction of cystic duct,"increases in women, obese patients, pregnant women, and patients in their 40s. Drastic weight loss or acute illnesses may also increase the risk","RUQ tenderness and pain radiating to back, anorexia; palpable
gallbladder","Increased WBC; increased bilirubin, increased ALP, US show gallstones, sonographic Murphy sign","Hydration, antibiotics, cholecystectomy, surgery",https://www.aafp.org/afp/2010/0915/p694.html,
